rank,selector
1,default
2,selector1
3,selector2
4,s1
5,s2
6,k1
7,k2
8,m1
9,m2
10,dkim
11,mail
12,mx
13,smtp
14,smtp1
15,smtp2
16,google
17,googlemail
18,googleapps
19,gapps
20,gmail
21,aspmx
22,amazonses
23,ses
24,ses1
25,ses2
26,sendgrid
27,sg
28,mandrill
29,mailchimp
30,mc
31,sparkpost
32,postmark
33,mailgun
34,mg
35,mailjet
36,mj
37,sendinblue
38,brevo
39,hubspot
40,hs1
41,hs2
42,salesforce
43,sfmc
44,pardot
45,outlook
46,o365
47,microsoft
48,m365
49,exchange
50,exch
51,protection
52,onmicrosoft
53,zoho
54,zmail
55,proton
56,protonmail
57,fastmail
58,icloud
59,yahoo
60,aol
61,proofpoint
62,mimecast
63,barracuda
64,cisco
65,ironport
66,valimail
67,dmarcian
68,dkimcore
69,auth
70,auth1
71,auth2
72,mailer
73,mailer1
74,mailer2
75,newsletter
76,news
77,notify
78,alerts
79,transactional
80,marketing
81,campaign
82,campaign1
83,campaign2
84,bulk
85,bounce
86,return
87,path
88,pm-bounces
89,mailer-daemon
90,noreply
91,no-reply
92,support
93,service
94,team
95,corp
96,secure
97,security
98,secops
99,ops
100,prod
